ID	NRIC	Time	penalty	paycard	SID	Sdate	Stime	OID
75	S8053199I	10:30:15	2.99	97	602	2019-03-22	10:17:00	7277
76	S8053199I	15:43:00	10.46	296	650	2019-09-01	15:41:00	65286
77	S8053199I	12:35:00	17.83	158	175	2019-12-24	12:19:00	12084
78	S8053199I	13:56:00	3.02	200	77	2020-12-19	13:54:00	39420
79	S8053199I	22:21:30	2.45	407	77	2019-09-08	22:00:00	90307
80	S8062601J	13:25:15	3.42	38	190	2020-01-31	12:39:00	61448
81	S8065732C	20:35:15	1.83	41	174	2020-10-25	19:54:00	32635
82	S8248757C	12:57:00	1.89	223	701	2019-02-24	12:31:00	87738
83	S8310243Z	22:49:30	2.14	122	124	2019-02-02	22:24:00	81275
84	S8327094B	11:56:15	3.77	191	16	2019-06-24	11:44:00	90568
85	S8530575A	15:11:30	11.54	NULL	14	2019-04-07	14:55:00	5384
86	S8698899B	12:58:15	3.47	33	77	2019-05-09	12:34:00	29868
87	S8803585B	12:57:40	10.51	51	701	2019-02-24	12:31:00	87738
88	S9152576C	19:33:10	1.44	276	175	2019-10-30	19:25:00	27120
89	S9200231G	10:40:45	2.95	NULL	167	2019-01-27	10:27:00	56389
90	S9221634I	7:53:00	10.86	466	850	2020-03-31	7:40:00	61722
91	S9301482B	11:16:15	7.72	163	124	2019-02-28	10:17:00	74767
92	S9346119C	6:19:25	8.95	NULL	502	2020-11-21	5:55:00	85284
93	S9398906F	10:59:30	0.55	99	77	2019-07-25	10:30:00	92736
94	S9499167F	14:39:10	13.62	102	167	2020-03-24	14:24:00	92736
95	S9508292J	21:57:25	5.68	73	518	2020-06-16	21:40:00	80765
96	S9571397A	15:56:30	10.48	2	805	2019-06-06	15:49:00	53682
97	S9571397A	21:54:00	3.58	53	502	2021-11-10	21:51:00	38547
98	S9838753F	17:08:20	16.73	8	14	2021-01-09	16:35:00	32635
99	S9888409B	13:58:25	1.14	NULL	16	2020-04-09	13:46:00	47549
100	S9982478F	23:00:05	10.76	76	598	2021-10-15	22:39:00	11641
